iters,timesteps,total_episode,eval_score,train_score,Robot_0_score,Robot_1_score,Robot_2_score,Robot_3_score,Robot_4_score
0,10240,20,-0.06100203549339558,-0.034219390002661,0.04242267736757804,-0.05025278644755926,-0.12407382709030407,-0.13183064569290429,-0.04127559560378835
10,112640,225,-0.051147373734446465,-0.046441237267206614,-0.008340494688888284,-0.043401405817970834,-0.09315845282846139,-0.11258996123679466,0.0017534458998827995
20,215040,430,-0.03126656373129074,-0.03221134133726587,0.04140392122283429,-0.052236817727328216,-0.09458050794626291,-0.05546880198952864,0.004549387783831765
30,317440,630,-0.02655294243852821,-0.014852811207278955,0.040287815634326096,-0.051804505850402,-0.07876607317867146,-0.04728995829859786,0.0048080095007041745
40,419840,835,-0.03896111073316012,0.00763800530390715,-0.02614758314925436,-0.06153932018539596,-0.07460775338193634,-0.04157846069118981,0.009067563741975843
50,522240,1040,-0.0004783047425509335,0.02011913253666652,0.10216463848133192,-0.029393008538254634,-0.06389013550071332,-0.02181094603003844,0.010537927874919806
60,624640,1245,0.019481656411294512,0.045335749882138995,0.15238971325329764,-0.008439734294954426,-0.05838884289917415,0.0028364542004502002,0.009010691796853293
70,727040,1450,0.05057338692821791,0.10324201165401026,0.18307603400400863,0.007204112852673555,-0.03330601839158037,0.08364549626324064,0.012247309912747112
80,829440,1655,0.14791850315724725,0.1843014526774181,0.21137592024700314,0.015358014344790533,-0.0007447869898864756,0.4999818441522693,0.01362152403205974
90,931840,1860,0.25750469040872714,0.25746840409505745,0.21430450869775386,0.02429520569912344,-0.004492019323758256,1.0378453240704641,0.015570432900052611
100,1034240,2065,0.36508814353708485,0.33917799110793356,0.22932438234334715,0.036078099963998606,-0.00030892696549456033,1.5439297495671516,0.016417412776421503
110,1136640,2270,0.42852273073175706,0.45145667372098564,0.2385272735427123,0.04475160923328694,0.025547985248195654,1.7830864497567478,0.05070033587784231
120,1239040,2475,0.5056275348491586,0.5388580948044257,0.24413783837536365,0.05053275566065188,0.07235736473864468,2.1105562571755545,0.05055345829557842
130,1341440,2680,0.5657227894435899,0.6317841280378808,0.24941575451121037,0.05827106759754064,0.17126968996554295,2.295323844833202,0.05433359031045404
