iters,timesteps,total_episode,eval_score,train_score,Robot_0_score,Robot_1_score,Robot_2_score,Robot_3_score,Robot_4_score
0,10240,20,0.005258393904116654,0.019009603032375155,0.03180391467381288,0.0729908257859,0.011517466330006498,-0.08494282610691789,-0.005077411162218215
10,112640,225,0.028289954307851285,0.07282481965752943,0.09272925859718761,0.08819894083552376,0.013270405545693476,-0.06669474073754023,0.013945907298391791
20,215040,430,0.02996776604013738,0.0870696688301825,0.09905351534504486,0.07947833315554448,0.015823145776278524,-0.06753529317917634,0.02301912910299536
30,317440,630,0.03817496853094855,0.13950485638549778,0.10160058756084434,0.08124427311222632,0.016575956495363087,-0.036821365616690804,0.028275391102999814
40,419840,835,0.06216384274975271,0.12859675816613186,0.09612467043256917,0.10493692354641054,0.015382421527401546,-0.03039667739270041,0.12477187563508269
50,522240,1040,0.07152543183077012,0.1697917372131929,0.09854713185024583,0.12246933340923011,0.01829005062775174,-0.023066094919580615,0.14138673818620356
60,624640,1245,0.06588416601959421,0.21617415062541623,0.04276094786404361,0.12042244922118911,0.016079768829382446,-0.0021536220957317775,0.15231128627908763
70,727040,1450,0.06897593179233247,0.3227104284971316,0.046912405172015725,0.11597129615813057,0.016364091542562187,0.004190541609311038,0.16144132447964282
80,829440,1655,0.10464310513677126,0.49471675778631913,0.052432848724974834,0.11689014436230366,0.046485920964523475,0.030113342558522493,0.27729326907353186
90,931840,1860,0.333658042024856,0.5172963918333009,0.0638211254175729,0.12406051212829866,0.04840636066371562,1.258051369533454,0.17395084238123887
100,1034240,2065,0.5989278546160632,0.6538758859378897,0.06683026712922813,0.1230285456847997,0.036994700871301744,2.597537348098653,0.17024841129633334
110,1136640,2270,0.6595572352890995,0.7467887942994882,0.06330058154790141,0.12854596085397252,0.053463140912189844,2.899954637884917,0.152521855246517
120,1239040,2475,0.8781533230816312,0.860577176060737,0.07906594975057074,0.11189195464483326,0.5459916705750179,3.370887794140126,0.2829292462976087
130,1341440,2680,1.0775928327703939,1.069324324565095,0.12482470605675744,0.12620102442228415,1.1734956774157093,3.692524335871445,0.27091842008577366
140,1443840,2885,1.255421855721342,1.1476885898805536,0.14676555194045782,0.12381549746343112,1.7065480204948449,4.035794264627649,0.264185944080327
150,1546240,3090,1.344123663226058,1.2649728031330516,0.14598857558668454,0.12428977415840808,2.041626127098213,4.141674121173091,0.2670397181138933
160,1648640,3295,1.4466018435426589,1.3081282566613524,0.16418515741310136,0.11381293145841292,2.169653732080731,4.504161958024217,0.2811954387368319
170,1751040,3500,1.4726753003506534,1.3817924363066425,0.16746211360711405,0.10456680405061147,2.268707199328874,4.552918094988031,0.2697222897786368
180,1853440,3705,1.4984289186388153,1.4513152816053665,0.18465215618294906,0.11193169710049616,2.3362689976701803,4.583989037104501,0.2753027051359503
190,1955840,3910,1.5671322987741576,1.5182607129748713,0.19580618093840363,0.12048960194199082,2.4033840093421586,4.839555658066879,0.2764260435813564
200,2058240,4115,1.6238412163332288,1.628730026482069,0.1987154797128412,0.1467366140838235,2.446465188917123,5.030350105184928,0.2969386937674285
210,2160640,4320,1.652847075891281,1.7639991552215117,0.20766461182016338,0.20880007155194785,2.4405232257728513,5.105394741934913,0.30185272837652993
220,2263040,4525,2.145695852173008,1.9001792411849219,0.20862892976705572,2.5159104401135877,2.4357918563321244,5.273312463683731,0.2948355709685406
230,2365440,4730,2.1912492916215807,2.0100183929597257,0.20535523001261613,2.788803385170335,2.4204326218046415,5.255835540163285,0.2858196809570272
240,2467840,4935,2.2733349708845423,2.1417967460265563,0.43884367980306105,3.001555390151753,2.465944555958787,5.158689759209381,0.30164146929972896
250,2570240,5140,2.401861627076469,2.1338555571832716,0.4361415498919212,3.175569410287804,2.4653761765746456,5.526843657538539,0.40537734108943607
260,2672640,5345,2.467984189602999,2.243431740555928,0.4766054267761297,3.331111389993925,2.450084796072379,5.6760076895271165,0.40611164564544616
270,2775040,5550,2.4922542353284136,2.2720278330497017,0.4340539133938013,3.4733950468889367,2.452491985304955,5.690561337130796,0.410768893923578
280,2877440,5750,2.431107388806723,2.291467140123127,0.21958536852253907,3.5699542716036574,2.4826575978539744,5.48050552488647,0.4028341811669745
